172.18.0.1 - - [03/Sep/2022:07:40:36 +0000] "GET / HTTP/1.1" 403 153 "-" "curl/7.64.0" "-"
85.93.41.221 - - [03/Sep/2022:10:25:14 +0000] "GET / HTTP/1.1" 200 23305 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "-"
85.93.41.221 - - [03/Sep/2022:10:25:22 +0000] "GET / HTTP/1.1" 200 23308 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "-"
85.93.41.221 - - [03/Sep/2022:10:27:10 +0000] "GET / HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "-"
85.93.41.221 - - [03/Sep/2022:10:27:12 +0000] "GET / HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "-"
85.93.41.221 - - [03/Sep/2022:10:27:12 +0000] "GET /favicon.ico HTTP/1.1" 404 555 "http://tradesoft.ml/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "-"
85.93.41.221 - - [03/Sep/2022:10:27:36 +0000] "GET / HTTP/1.1" 301 301 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "-"
85.93.41.221 - - [03/Sep/2022:10:27:36 +0000] "GET // HTTP/1.1" 301 301 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "-"
85.93.41.221 - - [03/Sep/2022:10:27:36 +0000] "GET // HTTP/1.1" 301 301 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "-"
85.93.41.221 - - [03/Sep/2022:10:27:36 +0000] "GET // HTTP/1.1" 301 301 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "-"
85.93.41.221 - - [03/Sep/2022:10:27:36 +0000] "GET // HTTP/1.1" 301 301 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "-"
85.93.41.221 - - [03/Sep/2022:10:27:36 +0000] "GET // HTTP/1.1" 301 301 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "-"
85.93.41.221 - - [03/Sep/2022:10:27:36 +0000] "GET // HTTP/1.1" 301 301 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "-"
